;;;;;;;;;;;
Listado de Precios ;;;;;;;;;;;
;;;;;;;;;;;
Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
Tipo Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
;;;% Comunes;;;Precios Originales;;;Precios con Descuentos;;
Cod Art.;descripcion;U.V.;%I.V.A.;%S.Lis;%Bonif;N.G.;I.V.A;Final;N.G;I.V.A;Final
431            ;Montepio Malbec;GENERICA;21,00;;;66,12;13,88;80,00;66,12;13,88;80,00
3235           ;Portillo Malbec;GENERICA;21,00;;;177,69;37,31;215,00;177,69;37,31;215,00
9182           ;Abito Cabernet Franc;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
8011           ;Secreto Roble Cabernet Sauvignon;GENERICA;21,00;;;177,69;37,31;215,00;177,69;37,31;215,00
4951           ;Quieto Reserva Blend;GENERICA;21,00;;;24.132,23;5.067,77;29.200,00;24.132,23;5.067,77;29.200,00
6001           ;Poesia 2006;GENERICA;21,00;;;338,84;71,16;410,00;338,84;71,16;410,00
806            ;Chakana Cabernet Sauvignon;GENERICA;21,00;;;41,32;8,68;50,00;41,32;8,68;50,00
2503           ;Fabre Montmayu Merlot;GENERICA;21,00;;;119,84;25,17;145,00;119,84;25,17;145,00
3008           ;Guarda Malbec DOC;GENERICA;21,00;;;495,87;104,13;600,00;495,87;104,13;600,00
3206           ;Callia Syrah;GENERICA;21,00;;;22,31;4,69;27,00;22,31;4,69;27,00
12205          ;Bira Tanito;GENERICA;21,00;;;14.049,59;2.950,41;17.000,00;14.049,59;2.950,41;17.000,00
6392           ;Alba En Los Andes Rva Malbec;GENERICA;21,00;;;1.561,98;328,02;1.890,00;1.561,98;328,02;1.890,00
5680           ;Quinto Malbec Riglos;GENERICA;21,00;;;13.636,36;2.863,64;16.500,00;13.636,36;2.863,64;16.500,00
MR001          ;Uno Rosé Antigal;GENERICA;21,00;;;14.049,59;2.950,41;17.000,00;14.049,59;2.950,41;17.000,00
3490           ;Los Escasos Syrah Alta Vista;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
4098           ;Dreidel Malbec No Mevushal;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
1340           ;Mara de Uco Petit Verdot;GENERICA;21,00;;;10.413,22;2.186,78;12.600,00;10.413,22;2.186,78;12.600,00
6202           ;Gouguenheim Flores Del Valle Malbec;GENERICA;21,00;;;157,03;32,98;190,00;157,03;32,98;190,00
1354           ;Callejón del Crimen Gran Rva Merlot;GENERICA;21,00;;;657,03;137,98;795,00;657,03;137,98;795,00
802            ;Chakana Estate Malbec;GENERICA;21,00;;;2.644,63;555,37;3.200,00;2.644,63;555,37;3.200,00
9207           ;Hermandad Cab. Franc Falasco;GENERICA;21,00;;;123.966,94;26.033,06;150.000,00;123.966,94;26.033,06;150.000,00
6807           ;Taymente Pinot Noir Huarpe;GENERICA;21,00;;;10.710,74;2.249,26;12.960,00;10.710,74;2.249,26;12.960,00
1428           ;Pequeñas Producciones Malbec;GENERICA;21,00;;;7.520,66;1.579,34;9.100,00;7.520,66;1.579,34;9.100,00
70014          ;Pont L'Evec Roble Malbec;GENERICA;21,00;;;429,75;90,25;520,00;429,75;90,25;520,00
933            ;Septima 10 Barricas Malbec;GENERICA;21,00;;;785,12;164,88;950,00;785,12;164,88;950,00
5204           ;Latente Cs-Mal;GENERICA;21,00;;;9.008,26;1.891,74;10.900,00;9.008,26;1.891,74;10.900,00
6343           ;Lamadrid Begani Special Blend;GENERICA;21,00;;;16.363,64;3.436,36;19.800,00;16.363,64;3.436,36;19.800,00
2776           ;Doña Paula Estate Black Edition;GENERICA;21,00;;;10.909,09;2.290,91;13.200,00;10.909,09;2.290,91;13.200,00
8212           ;D. Bousquet Virgen Red Blend;GENERICA;21,00;;;10.000,00;2.100,00;12.100,00;10.000,00;2.100,00;12.100,00
YACO105        ;Coquena Blend;GENERICA;21,00;;;11.404,96;2.395,04;13.800,00;11.404,96;2.395,04;13.800,00
9227           ;Hermandad Winemaker S. Bonarda;GENERICA;21,00;;;29.495,87;6.194,13;35.690,00;29.495,87;6.194,13;35.690,00
1662           ;Alambrado Cabernet Franc;GENERICA;21,00;;;314,05;65,95;380,00;314,05;65,95;380,00
157            ;Alandes Paradoux Blend 4 Ed;GENERICA;21,00;;;909,09;190,91;1.100,00;909,09;190,91;1.100,00
1506           ;Estiba I 375 Malbec;GENERICA;21,00;;;11,98;2,52;14,50;11,98;2,52;14,50
2504           ;Infinitus Malbec Syrah;GENERICA;21,00;;;40,50;8,50;49,00;40,50;8,50;49,00
1641           ;Sta Julia Innovacion Graciano;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
7905           ;Acordeón Malbec;GENERICA;21,00;;;7.933,88;1.666,12;9.600,00;7.933,88;1.666,12;9.600,00
3963           ;Tucumen Petit Verdot;GENERICA;21,00;;;8.090,91;1.699,09;9.790,00;8.090,91;1.699,09;9.790,00
3506           ;Viniterra Cabernet Sauvignon;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
4970           ;Giramundo Cabernet Franc;GENERICA;21,00;;;801,65;168,35;970,00;801,65;168,35;970,00
4954           ;Monte Quieto Alegre Malbec;GENERICA;21,00;;;24.132,23;5.067,77;29.200,00;24.132,23;5.067,77;29.200,00
8104           ;Finca La Anita Cabernet Sauvignon;GENERICA;21,00;;;15.206,61;3.193,39;18.400,00;15.206,61;3.193,39;18.400,00
6529           ;Joffré Gran Cabernet Franc;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
2906           ;Canale Estate Blend;GENERICA;21,00;;;326,45;68,55;395,00;326,45;68,55;395,00
2502           ;Fabre Montmayu Cabernet Sauvignon;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
1445           ;Circus Juno Malbec;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
AVE00          ;Kaiken Aventura Malbec Los Chacayes Sur;GENERICA;21,00;;;34.132,23;7.167,77;41.300,00;34.132,23;7.167,77;41.300,00
9128           ;Sunal Salvaje Cachi Malbec A. Lanús;GENERICA;21,00;;;31.983,47;6.716,53;38.700,00;31.983,47;6.716,53;38.700,00
MAS09          ;Familia Mastrantonio Mal-Petit;GENERICA;21,00;;;46.280,99;9.719,01;56.000,00;46.280,99;9.719,01;56.000,00
4915           ;Manos Negra Atrevida;GENERICA;21,00;;;1.239,67;260,33;1.500,00;1.239,67;260,33;1.500,00
1254           ;Cinco Sentidos Gran Reserva;GENERICA;21,00;;;1.818,18;381,82;2.200,00;1.818,18;381,82;2.200,00
6332           ;Durigutti Hd Malbec;GENERICA;21,00;;;21.223,14;4.456,86;25.680,00;21.223,14;4.456,86;25.680,00
4898           ;Platea Función Blend Wine & Circo;GENERICA;21,00;;;2.561,98;538,02;3.100,00;2.561,98;538,02;3.100,00
4830           ;T. D. Dioses Unico Malbec G. Riili;GENERICA;21,00;;;66.198,35;13.901,65;80.100,00;66.198,35;13.901,65;80.100,00
4610           ;Viñas de Narvaez Malbec;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
938            ;Los Pasos  375 cc;GENERICA;21,00;;;24,79;5,21;30,00;24,79;5,21;30,00
2014           ;Caballero de La Cepa Malbec;GENERICA;21,00;;;14.876,03;3.123,97;18.000,00;14.876,03;3.123,97;18.000,00
7906           ;Acordeón Cabernet Sauvignon;GENERICA;21,00;;;342,98;72,02;415,00;342,98;72,02;415,00
1605           ;Alambrado Cabernet Sauvignon;GENERICA;21,00;;;2.809,92;590,08;3.400,00;2.809,92;590,08;3.400,00
1362           ;Episodio Malbec;GENERICA;21,00;;;132,23;27,77;160,00;132,23;27,77;160,00
4604           ;Casa Boher Malbec;GENERICA;21,00;;;12.396,69;2.603,31;15.000,00;12.396,69;2.603,31;15.000,00
AÑ3464         ;Alta Vista Temis 2012;GENERICA;21,00;;;2.727,27;572,73;3.300,00;2.727,27;572,73;3.300,00
7661           ;Costa y Pampa Pinot Noir;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
11011          ;Hermanos Cabernet Domingo Molina;GENERICA;21,00;;;2.438,02;511,98;2.950,00;2.438,02;511,98;2.950,00
1347           ;On The Road Merlot;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
801            ;Cara Sucia Cereza;GENERICA;21,00;;;15.785,12;3.314,88;19.100,00;15.785,12;3.314,88;19.100,00
3413           ;Flecha de los Andes Gran Malbec;GENERICA;21,00;;;909,09;190,91;1.100,00;909,09;190,91;1.100,00
4761           ;Las Perdices Victimas Del Cielo;GENERICA;21,00;;;2.819,84;592,17;3.412,00;2.819,84;592,17;3.412,00
6511           ;Pasion 4 Cab. Sauvig. Joffré;GENERICA;21,00;;;11.818,18;2.481,82;14.300,00;11.818,18;2.481,82;14.300,00
4230           ;Lurton Chacayes;GENERICA;21,00;;;991,74;208,26;1.200,00;991,74;208,26;1.200,00
125            ;Aniello Soil Corte de Merlot;GENERICA;21,00;;;3.719,01;780,99;4.500,00;3.719,01;780,99;4.500,00
9743           ;Demencial Malbec;GENERICA;21,00;;;10.743,80;2.256,20;13.000,00;10.743,80;2.256,20;13.000,00
7631           ;Relator Tempranillo;GENERICA;21,00;;;471,07;98,93;570,00;471,07;98,93;570,00
8101           ;Finca Linea Tonel;GENERICA;21,00;;;289,26;60,74;350,00;289,26;60,74;350,00
4755           ;Mythic Mountain Red Blend;GENERICA;21,00;;;1.876,03;393,97;2.270,00;1.876,03;393,97;2.270,00
5503           ;Vivo Malbec;GENERICA;21,00;;;82,65;17,36;100,00;82,65;17,36;100,00
MAS03          ;Mastrantonio 63 Premium Red Blend;GENERICA;21,00;;;20.000,00;4.200,00;24.200,00;20.000,00;4.200,00;24.200,00
1912           ;El Peral Cabernet Franc;GENERICA;21,00;;;9.917,36;2.082,64;12.000,00;9.917,36;2.082,64;12.000,00
6527           ;Joffré Gran Blend Bon-Pn;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
8202           ;D. Bousquet Virgen Malbec;GENERICA;21,00;;;10.000,00;2.100,00;12.100,00;10.000,00;2.100,00;12.100,00
4963           ;La Igriega Malbec Superior;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
13008          ;Ladran Sancho Blend;GENERICA;21,00;;;289,26;60,74;350,00;289,26;60,74;350,00
1329           ;Amici Miei Stella Crinita;GENERICA;21,00;;;2.945,46;618,55;3.564,00;2.945,46;618,55;3.564,00
8708           ;Montes Twins;GENERICA;21,00;;;4.132,23;867,77;5.000,00;4.132,23;867,77;5.000,00
SYL0001        ;Moradito;GENERICA;21,00;;;7.107,44;1.492,56;8.600,00;7.107,44;1.492,56;8.600,00
AÑ6512         ;Pasion 4 Merlot 2012;GENERICA;21,00;;;495,87;104,13;600,00;495,87;104,13;600,00
639            ;Saint Felicien Clorindo Testa;GENERICA;21,00;;;256,20;53,80;310,00;256,20;53,80;310,00
637            ;Angelica Merlot;GENERICA;21,00;;;479,34;100,66;580,00;479,34;100,66;580,00
7622           ;Impaciente Cabernet Sauvignon;GENERICA;21,00;;;115,70;24,30;140,00;115,70;24,30;140,00
4925           ;Zaha Blend;GENERICA;21,00;;;6.272,73;1.317,27;7.590,00;6.272,73;1.317,27;7.590,00
1902           ;El Peral Malbec Uruco;GENERICA;21,00;;;9.917,36;2.082,64;12.000,00;9.917,36;2.082,64;12.000,00
2013           ;Caballero de la Cepa Cabernet Sauvignon;GENERICA;21,00;;;37,19;7,81;45,00;37,19;7,81;45,00
9812           ;Gauchezco Rva Petit Verdot;GENERICA;21,00;;;12.396,69;2.603,31;15.000,00;12.396,69;2.603,31;15.000,00
YACO106        ;San Pedro de Yacochuya Tinto;GENERICA;21,00;;;27.272,73;5.727,27;33.000,00;27.272,73;5.727,27;33.000,00
1408           ;Familia Gascon Tempranillo;GENERICA;21,00;;;59,50;12,50;72,00;59,50;12,50;72,00
1251           ;Frontera Malbec Trivento;GENERICA;21,00;;;3.768,60;791,40;4.560,00;3.768,60;791,40;4.560,00
8803           ;Finca Ambrosia Cab. Sau. V. Unica;GENERICA;21,00;;;599,17;125,83;725,00;599,17;125,83;725,00
4750           ;Partridge Blend Las Perdices;GENERICA;21,00;;;7.933,88;1.666,12;9.600,00;7.933,88;1.666,12;9.600,00
3444           ;Melipal Cabernet Sauvignon;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
1301           ;Alma Negra Blend;GENERICA;21,00;;;15.702,48;3.297,52;19.000,00;15.702,48;3.297,52;19.000,00
6301           ;Lamadrid Gran Reserva Malbec;GENERICA;21,00;;;30.495,87;6.404,13;36.900,00;30.495,87;6.404,13;36.900,00
623            ;Saint Felicien Blend;GENERICA;21,00;;;384,30;80,70;465,00;384,30;80,70;465,00
4831           ;T. D. Dioses Unico Cab. Franc G. Riili;GENERICA;21,00;;;66.198,35;13.901,65;80.100,00;66.198,35;13.901,65;80.100,00
1807           ;Fin Del Mundo Reserva Malbec;GENERICA;21,00;;;10.661,16;2.238,84;12.900,00;10.661,16;2.238,84;12.900,00
4708           ;Las Perdices Malbec;GENERICA;21,00;;;11.239,67;2.360,33;13.600,00;11.239,67;2.360,33;13.600,00
1322           ;Padrillos Pinot Noir;GENERICA;21,00;;;351,24;73,76;425,00;351,24;73,76;425,00
AÑ4925         ;Zaha Blend 2011;GENERICA;21,00;;;1.570,25;329,75;1.900,00;1.570,25;329,75;1.900,00
5568           ;Trivento Finjamos Demencia Dulce;GENERICA;21,00;;;4.049,59;850,41;4.900,00;4.049,59;850,41;4.900,00
996            ;Peñon de Agrelo Cabernet Franc Lamadrid;GENERICA;21,00;;;23.140,50;4.859,50;28.000,00;23.140,50;4.859,50;28.000,00
6110           ;Hey Malbec;GENERICA;21,00;;;4.008,26;841,74;4.850,00;4.008,26;841,74;4.850,00
4322           ;Numina Petit Verdot;GENERICA;21,00;;;628,10;131,90;760,00;628,10;131,90;760,00
4201           ;Piedra Negra Reserva Malbec;GENERICA;21,00;;;16.942,15;3.557,85;20.500,00;16.942,15;3.557,85;20.500,00
12023          ;Trivento Reserva Maximus Blend;GENERICA;21,00;;;7.355,37;1.544,63;8.900,00;7.355,37;1.544,63;8.900,00
11023          ;Domingo Hnos Malbec;GENERICA;21,00;;;1.305,79;274,21;1.580,00;1.305,79;274,21;1.580,00
4811           ;Padres Ded. Cab. Franc G. Riili;GENERICA;21,00;;;25.702,48;5.397,52;31.100,00;25.702,48;5.397,52;31.100,00
7112           ;Tupun Bonarda;GENERICA;21,00;;;132,23;27,77;160,00;132,23;27,77;160,00
9110           ;Bad Brother Facón P. Verdot A. Lanús;GENERICA;21,00;;;44.462,81;9.337,19;53.800,00;44.462,81;9.337,19;53.800,00
AÑ3474         ;Alta Vista Alizarine Malbec 2012;GENERICA;21,00;;;2.314,05;485,95;2.800,00;2.314,05;485,95;2.800,00
4029           ;Zorro Salvaje Malbec Huentala;GENERICA;21,00;;;6.033,06;1.266,94;7.300,00;6.033,06;1.266,94;7.300,00
4913           ;Manos Negras Red Soil Pinot;GENERICA;21,00;;;966,94;203,06;1.170,00;966,94;203,06;1.170,00
3409           ;Alta Vista Estate Premium Cabernet Sauvignon;GENERICA;21,00;;;13.057,85;2.742,15;15.800,00;13.057,85;2.742,15;15.800,00
7034           ;Lorca Fantasia Cabernet Franc;GENERICA;21,00;;;9.814,05;2.060,95;11.875,00;9.814,05;2.060,95;11.875,00
622            ;Saint Felicien Malbec 2008;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
2407           ;Finca Las Moras Malbec;GENERICA;21,00;;;24,79;5,21;30,00;24,79;5,21;30,00
5685           ;Quinto Cab. Sauv. Riglos;GENERICA;21,00;;;13.636,36;2.863,64;16.500,00;13.636,36;2.863,64;16.500,00
6605           ;Rebelion  Malbec Maal;GENERICA;21,00;;;2.644,63;555,37;3.200,00;2.644,63;555,37;3.200,00
7510           ;Flm Colección Malbec;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
6599           ;Rj Distinto Vertical  Joffré;GENERICA;21,00;;;165.289,26;34.710,74;200.000,00;165.289,26;34.710,74;200.000,00
DW11           ;Nirvana Malbec Dharma;GENERICA;21,00;;;37.933,88;7.966,12;45.900,00;37.933,88;7.966,12;45.900,00
BAT013         ;Catalpa Cabernet Franc;GENERICA;21,00;;;18.859,50;3.960,50;22.820,00;18.859,50;3.960,50;22.820,00
1204           ;Barrandica Blend;GENERICA;21,00;;;48,76;10,24;59,00;48,76;10,24;59,00
2703           ;La Flor Malbec Pulenta;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
6398           ;Durigutti Carmela Gran Rva Malbec;GENERICA;21,00;;;37.190,08;7.809,92;45.000,00;37.190,08;7.809,92;45.000,00
6524           ;Joffré Blend de Selección 2 Cscf;GENERICA;21,00;;;20.495,87;4.304,13;24.800,00;20.495,87;4.304,13;24.800,00
4714           ;Rama Negra Reserva Red Blend;GENERICA;21,00;;;165,29;34,71;200,00;165,29;34,71;200,00
11505          ;Staphyle Premium Malbec;GENERICA;21,00;;;9.504,13;1.995,87;11.500,00;9.504,13;1.995,87;11.500,00
AÑ6343         ;Begani Special Blend 2012;GENERICA;21,00;;;603,31;126,69;730,00;603,31;126,69;730,00
2505           ;Infinitus Cabernet Merlot;GENERICA;21,00;;;40,50;8,50;49,00;40,50;8,50;49,00
1367           ;Quercus Cabernet Sauvignon;GENERICA;21,00;;;39,67;8,33;48,00;39,67;8,33;48,00
7403           ;Venerable Syrah;GENERICA;21,00;;;90,91;19,09;110,00;90,91;19,09;110,00
1435           ;Pequeñas Producciones Barbera;GENERICA;21,00;;;6.115,70;1.284,30;7.400,00;6.115,70;1.284,30;7.400,00
7064           ;Ique Malbec Foster;GENERICA;21,00;;;652,89;137,11;790,00;652,89;137,11;790,00
12031          ;Trivento Gaudeo Malbec Altamira;GENERICA;21,00;;;26.446,28;5.553,72;32.000,00;26.446,28;5.553,72;32.000,00
BAT014         ;Catalpa Assamblage;GENERICA;21,00;;;20.661,16;4.338,84;25.000,00;20.661,16;4.338,84;25.000,00
934            ;Septima Obra Pinot Noir;GENERICA;21,00;;;359,50;75,50;435,00;359,50;75,50;435,00
2530           ;Saurus Barrel Cab. Franc;GENERICA;21,00;;;14.905,79;3.130,21;18.036,00;14.905,79;3.130,21;18.036,00
6328           ;Durigutti Petit Verdot;GENERICA;21,00;;;13.801,65;2.898,35;16.700,00;13.801,65;2.898,35;16.700,00
7114           ;Miss Charlen Malbec;GENERICA;21,00;;;37,19;7,81;45,00;37,19;7,81;45,00
3305           ;Finca La Linda Cabernet Sauvignon;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
12054          ;La Chamiza Malbec;GENERICA;21,00;;;188,43;39,57;228,00;188,43;39,57;228,00
4744           ;Partridge Malbec Las Perdices;GENERICA;21,00;;;7.933,88;1.666,12;9.600,00;7.933,88;1.666,12;9.600,00
612            ;Angelica Cabernet Sauvignon;GENERICA;21,00;;;479,34;100,66;580,00;479,34;100,66;580,00
11510          ;LINEA 581 Cabernet Sauvignon Staphyle;GENERICA;21,00;;;8.016,53;1.683,47;9.700,00;8.016,53;1.683,47;9.700,00
3104           ;Rincon Famoso Tinto;GENERICA;21,00;;;28,93;6,07;35,00;28,93;6,07;35,00
3201           ;Cafayate Malbec;GENERICA;21,00;;;48,76;10,24;59,00;48,76;10,24;59,00
253            ;Achaval Ferrer Cabernet Sauvignon;GENERICA;21,00;;;1.900,83;399,17;2.300,00;1.900,83;399,17;2.300,00
7706           ;Tomero Reserva Pinot Noir;GENERICA;21,00;;;256,20;53,80;310,00;256,20;53,80;310,00
AÑ34071        ;Alta Vista Bonarda 2008;GENERICA;21,00;;;1.900,83;399,17;2.300,00;1.900,83;399,17;2.300,00
1703           ;Estancia Mal-Mer;GENERICA;21,00;;;11,57;2,43;14,00;11,57;2,43;14,00
4345           ;Pyros Special Blend;GENERICA;21,00;;;3.305,79;694,21;4.000,00;3.305,79;694,21;4.000,00
5652           ;Susana Balbo Signature Malbec;GENERICA;21,00;;;4.575,21;960,79;5.536,00;4.575,21;960,79;5.536,00
103            ;Los Bocheros Red Blend;GENERICA;21,00;;;10.330,58;2.169,42;12.500,00;10.330,58;2.169,42;12.500,00
1314           ;Masi Passo Doble Malbec Corvina;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
1708           ;Estancia Roble Cabernet Sauvignon;GENERICA;21,00;;;23,97;5,03;29,00;23,97;5,03;29,00
114            ;Punto Final Rva. Malbec Renacer;GENERICA;21,00;;;17.933,88;3.766,12;21.700,00;17.933,88;3.766,12;21.700,00
AÑ4712         ;Rama Negra Merlot 2009;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
AÑ6505         ;Joffre Premium Merlot 2011;GENERICA;21,00;;;2.396,69;503,31;2.900,00;2.396,69;503,31;2.900,00
8441           ;Altaland Syrah;GENERICA;21,00;;;318,18;66,82;385,00;318,18;66,82;385,00
4935           ;Manos Negras Artesanos Pinot;GENERICA;21,00;;;1.396,69;293,31;1.690,00;1.396,69;293,31;1.690,00
5206           ;Pleno Cabernet Suavignon Cuarto Surco;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
3422           ;Kaiken Corte Cabernet Sauvignon;GENERICA;21,00;;;801,65;168,35;970,00;801,65;168,35;970,00
8436           ;La Posta Pizzella;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
1511           ;Uxmal Malbec;GENERICA;21,00;;;66,12;13,88;80,00;66,12;13,88;80,00
4606           ;Casa Boher Merlot;GENERICA;21,00;;;190,08;39,92;230,00;190,08;39,92;230,00
6206           ;Gouguemheim Malbec;GENERICA;21,00;;;74,38;15,62;90,00;74,38;15,62;90,00
5035           ;La Espera Malbec Syrah;GENERICA;21,00;;;161,16;33,84;195,00;161,16;33,84;195,00
3449           ;Atemporal Cabernet Sauvignon - Franc;GENERICA;21,00;;;793,39;166,61;960,00;793,39;166,61;960,00
3820           ;Norton Elegido Malbec;GENERICA;21,00;;;190,08;39,92;230,00;190,08;39,92;230,00
805            ;Chakana Reserva Cabernet Sauvignon;GENERICA;21,00;;;52,07;10,93;63,00;52,07;10,93;63,00
9130           ;Sunal Ilogico Malbec A. Lanús;GENERICA;21,00;;;23.966,94;5.033,06;29.000,00;23.966,94;5.033,06;29.000,00
4959           ;Monte Quieto Alegre Cabernet Franc;GENERICA;21,00;;;24.132,23;5.067,77;29.200,00;24.132,23;5.067,77;29.200,00
1922           ;El Porvenir, Bonarda Peq. Fermentacion;GENERICA;21,00;;;27.272,73;5.727,27;33.000,00;27.272,73;5.727,27;33.000,00
1426           ;Circus Roble Malbec;GENERICA;21,00;;;33,06;6,94;40,00;33,06;6,94;40,00
4745           ;Casarena Red Blend;GENERICA;21,00;;;1.231,41;258,60;1.490,00;1.231,41;258,60;1.490,00
6389           ;Fuego Blanco Malbec;GENERICA;21,00;;;16.107,44;3.382,56;19.490,00;16.107,44;3.382,56;19.490,00
7621           ;Impaciente Malbec;GENERICA;21,00;;;115,70;24,30;140,00;115,70;24,30;140,00
AÑ4965         ;Revancha 1° Malbec;GENERICA;21,00;;;1.545,46;324,55;1.870,00;1.545,46;324,55;1.870,00
SU003          ;Sur de Los Andes Rva Cabernet Franc;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
7106           ;Tupun Reserva Cabernet Sauvignon;GENERICA;21,00;;;231,41;48,60;280,00;231,41;48,60;280,00
3307           ;Luigi Bosca Cabernet Sauvignon;GENERICA;21,00;;;867,77;182,23;1.050,00;867,77;182,23;1.050,00
1911           ;Uruco Merlot;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
1312           ;Padrillos Malbec;GENERICA;21,00;;;224,79;47,21;272,00;224,79;47,21;272,00
9708           ;Sin Fin Bonarda;GENERICA;21,00;;;7.024,79;1.475,21;8.500,00;7.024,79;1.475,21;8.500,00
704            ;Cavas San Julian Malbec;GENERICA;21,00;;;16,53;3,47;20,00;16,53;3,47;20,00
11705          ;Comahue Malbec;GENERICA;21,00;;;2.499,17;524,83;3.024,00;2.499,17;524,83;3.024,00
AÑ4913         ;Manos Negras Red Soil Pinot 2012;GENERICA;21,00;;;966,94;203,06;1.170,00;966,94;203,06;1.170,00
6402           ;Don Nicasio Cabernet Sauvignon;GENERICA;21,00;;;;;;;;
2730           ;La Flor Malbec 375 Pulenta;GENERICA;21,00;;;7.438,02;1.561,98;9.000,00;7.438,02;1.561,98;9.000,00
1345           ;Animal Colours Blend Tinto;GENERICA;21,00;;;9.504,13;1.995,87;11.500,00;9.504,13;1.995,87;11.500,00
2350           ;Tamari AR;GENERICA;21,00;;;413,22;86,78;500,00;413,22;86,78;500,00
4031           ;Zorro Salvaje Cab. Sauv. Huentala;GENERICA;21,00;;;6.033,06;1.266,94;7.300,00;6.033,06;1.266,94;7.300,00
7646           ;5 Hileras Blend Chañarmuyo;GENERICA;21,00;;;2.578,51;541,49;3.120,00;2.578,51;541,49;3.120,00
5684           ;Quinto Cab. Franc Riglos;GENERICA;21,00;;;13.636,36;2.863,64;16.500,00;13.636,36;2.863,64;16.500,00
2309           ;La Consulta Roble Cabernet Sa;GENERICA;21,00;;;18,18;3,82;22,00;18,18;3,82;22,00
4977           ;Zolo Malbec 375;GENERICA;21,00;;;4.132,23;867,77;5.000,00;4.132,23;867,77;5.000,00
9204           ;Hermandad Winemakers Cab. Franc Falasco;GENERICA;21,00;;;29.495,87;6.194,13;35.690,00;29.495,87;6.194,13;35.690,00
146            ;Finca Los Galos Petit Verdot;GENERICA;21,00;;;4.958,68;1.041,32;6.000,00;4.958,68;1.041,32;6.000,00
1328           ;Tikal Natural Mal-Syr;GENERICA;21,00;;;22.727,27;4.772,73;27.500,00;22.727,27;4.772,73;27.500,00
3476           ;Vive Malbec Alta Vista;GENERICA;21,00;;;9.256,20;1.943,80;11.200,00;9.256,20;1.943,80;11.200,00
113            ;Ataliva Malbec By Benegas;GENERICA;21,00;;;1.033,06;216,94;1.250,00;1.033,06;216,94;1.250,00
4927           ;Zaha Cabernet Franc;GENERICA;21,00;;;4.314,05;905,95;5.220,00;4.314,05;905,95;5.220,00
3434           ;Valbona Legado Cab. Sauvig. Agusto P.;GENERICA;21,00;;;1.735,54;364,46;2.100,00;1.735,54;364,46;2.100,00
3967           ;Alma Austral Assamblage;GENERICA;21,00;;;6.528,93;1.371,07;7.900,00;6.528,93;1.371,07;7.900,00
BAT004         ;ATAMISQUE Assemblage Atamisque;GENERICA;21,00;;;43.714,88;9.180,12;52.895,00;43.714,88;9.180,12;52.895,00
850            ;S. Uco Calcáreo Rio Malbec;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
1918           ;Amauta IV Malbec Tannat Petit;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
5648           ;Benmarco Sin Limites Malbec Susana Balbo;GENERICA;21,00;;;5.248,76;1.102,24;6.351,00;5.248,76;1.102,24;6.351,00
7042           ;Lorca Poetico Cabernet Franc;GENERICA;21,00;;;18.016,53;3.783,47;21.800,00;18.016,53;3.783,47;21.800,00
2461           ;Don David Reserva Cabernet Sauvingon;GENERICA;21,00;;;90,91;19,09;110,00;90,91;19,09;110,00
